,eid,doi,pii,pubmed_id,title,subtype,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,fund_acr,fund_no,fund_sponsor
1057,2-s2.0-28044459631,10.1111/j.0908-8857.2005.03496.x,,,Brood size and environmental conditions sex-specifically affect nestling immune response in the European starling Sturnus vulgaris,ar,Chin E.,60018491;60010365,Simon Fraser University;The University of British Columbia,Burnaby;Vancouver,Canada;Canada,4,"Chin, Eunice H.;Love, Oliver P.;Clark, Alison M.;Williams, Tony D.",9840071100;6603082825;56309476500;7404172708,60018491-60010365;60018491;60018491;60018491,2005-11-01,November 2005,Journal of Avian Biology,09088857,22035,,Journal,36,6,,549-554,"In sexually size-dimorphic species, the larger sex can be more sensitive to stressful environmental conditions, often resulting in reduced growth and elevated mortality rates. Development of the immune system is regarded as highly resource dependent, and recent data suggest that nestling passerines experience a possible resource-based trade-off between growth and immunity. Given the hypothesized importance of maximizing growth for the larger sex, the corresponding immune system may also exhibit similar sensitivity to limited resources. To better understand how natural variation in brood size and resources might differentially affect growth and immune function in nestlings of a sexually size-dimorphic species, we examined the relationship between brood size and inter-sexual differences in cell-mediated immunity (CMI) and survival in European starling Sturnus vulgaris nestlings where males are larger in both mass and structural size. We hypothesized that male CMI response should be negatively impacted by increasing sibling competition (brood size), especially during periods of low resource availability. In a year of reduced parental provisioning rates and reduced chick growth rates, male offspring exhibited the predicted negative relationship, whereas female CMI response was unaffected. However, in a year of improved provisioning rates and chick growth, neither sex exhibited a negative relationship between immune response and brood size. Thus, natural variation in brood size can affect sex-specific immunity differently in offspring of a sexually size-dimorphic passerine. However, this relationship appears resource-dependent, suggesting that the hypothesized resource-based trade-off may be compensated for in years of adequate resource abundance. © Journal of Avian Biology.",,48,0,,undefined,
1058,2-s2.0-28044453280,10.1111/j.0908-8857.2005.03513.x,,,Does male extra-territory foray effort affect fertilization success in hooded warblers Wilsonia citrina?,ar,Stutchbury B.,60033420;60016849;60010365;60008599,York University;University of Toronto;The University of British Columbia;Indiana State University,Toronto;Toronto;Vancouver;Terre Haute,Canada;Canada;Canada;United States,5,"Stutchbury, Bridget J.M.;Pitcher, Trevor E.;Norris, D. Ryan;Tuttle, Elaina M.;Gonser, Rusty A.",7004212289;7005614209;7201567626;6701524132;6506419819,60033420;60016849;60010365;60008599;60008599,2005-11-01,November 2005,Journal of Avian Biology,09088857,22035,,Journal,36,6,,471-477,"Hooded warbler Wilsonia citrina males vary greatly in the frequency and duration of their off-territory forays in search of extra-pair copulations. We used radiotracking and microsatellite parentage analysis in high and low density populations to determine if (1) high foray rate or time off-territory reduces within-pair fertilization success, and (2) if a high foray rate onto the territory of a fertile female increases the likelihood of obtaining EPFs with that female. Males who left their territory often, or for longer periods, did not have lower within-pair fertilization success. Some males repeatedly visited a neighboring fertile female, but in only 3 of 19 cases where radiotagged males visited a fertile female did the male actually sire offspring with that female. Male foray rate onto a fertile female's territory was not a good predictor of whether or not he sired extra-pair offspring with that female. We suggest that mate choice and extra-pair behavior by females may explain why male foray behavior does not correspond closely with actual fertilization success. © Journal of Avian Biology.",,16,0,,undefined,
1059,2-s2.0-27444438462,10.1002/dvdy.20540,,16170783,Lens and retina formation require expression of Pitx3 in xenopus pre-lens ectoderm,ar,Khosrowshahian F.,60014171;60012468;60010884,University of Waterloo;University of Windsor;Western University,Waterloo;Windsor;London,Canada;Canada;Canada,6,"Khosrowshahian, Farhad;Wolanski, Marian;Chang, Wing Y.;Fujiki, Kazuhiro;Jacobs, Larry;Crawford, Michael J.",6508203853;14023803300;57207346737;7102740344;8881195900;7402706439,60012468;60012468;60010884;60014171;60012468;60012468,2005-11-01,November 2005,Developmental Dynamics,10588388,14538,,Journal,234,3,,577-589,"Pitx3 is expressed in tissues fated to contribute to eye development, namely, neurula stage ectoderm and prechordal mesoderm, then presumptive lens ectoderm, placode, and finally lens. Pitx3 overexpression alters lens, optic cup, optic nerve, and diencephalon development. Many of the induced anomalies are attributable to midline deficits; however, as assessed by molecular markers, ectopic Pitx3 appears to temporarily enlarge the lens field. These changes are usually insufficient to generate either ectopic lenses to enlarge the eye that eventually differentiates. Conversely, use of a repressor chimera or of antisense morpholinos alters early expression of marker genes, and later inhibits lens development, thereby abrogating retinal induction. Reciprocal grafting experiments using wild-type and morpholino-treated tissues demonstrate that Pitx3 expression in the presumptive lens ectoderm is required for lens formation. Contradictory to recent assertions that retina can form in the absence of a lens, the expression of Pitx3 in the presumptive lens ectoderm is critical for retina development. © 2005 Wiley-Liss, Inc.",β-crystallin | Laterality | Lens placode | Lens1 | Morpholino oligonucleotide | Otx2 | Pax6 | Pituitary gland | Pitx | Retina | Rx | Six3 | Xenopus laevis,25,0,,undefined,
1060,2-s2.0-31144456439,10.1139/f05-160,,,Invertebrates associated with residual ballast water and sediments of cargo-carrying ships entering the Great Lakes,ar,Duggan I.,60027863;60012468;60004424;101343926,Université du Québec à Montréal;University of Windsor;University of Waikato;Marine Consulting and Management Services,Montreal;Windsor;Hamilton,Canada;Canada;New Zealand;Canada,6,"Duggan, Ian C.;Van Overdijk, Colin D.A.;Bailey, Sarah A.;Jenkins, Philip T.;Limén, Helene;MacIsaac, Hugh J.",6602850627;9840093200;7401729644;8724437800;8223084600;7004824705,60012468-60004424;60012468;60012468;101343926;60012468-60027863;60012468,2005-11-01,November 2005,Canadian Journal of Fisheries and Aquatic Sciences,0706652X,12016,,Journal,62,11,,2463-2474,"Most ships entering the Great Lakes carry cargo and declare ""no-ballast-on board"" (NOBOB) status. Approximately 250 of these vessels annually load Great Lakes' ballast water when they offload inbound cargo and then discharge this water (which has now mixed with residual water previously present in the tanks) when they load out-bound cargo. This procedure potentially allows nonindigenous species present in ballast residuals to invade the Great Lakes. We collected residual sediment, water, and associated organisms from 38 NOBOB ships entering the Great Lakes. We recorded seven established Great Lakes' nonindigenous species, including some discovered since ballast water exchange was implemented. Occurrences of species not yet invaded indicate that this vector provides further opportunity for invasion. Collectively, NOBOB vessels appear to constitute a greater risk than ballasted vessels, as they make up a greater proportion of the traffic entering the lakes (∼90%), and they do not undergo ballast exchange. Invertebrates in residual water appear to have a greater opportunity for discharge than those in sediments, although most in the water fraction have already invaded this system. Invertebrate numbers in residual freshwater ballast could be dramatically lowered if these vessels flushed with open-ocean water prior to entering the Great Lakes. © 2005 NRC.",,63,0,,undefined,
1061,2-s2.0-32644445795,10.1139/f05-146,,,Modelling the invasion risk of diapausing organisms transported in ballast sediments,ar,Wonham M.,60030835;60012468,University of Alberta;University of Windsor,Edmonton;Windsor,Canada;Canada,4,"Wonham, Marjorie J.;Bailey, Sarah A.;MacIsaac, Hugh J.;Lewis, Mark A.",6603015227;7401729644;7004824705;56653866000,60030835-60012468;60012468;60012468;60030835,2005-10-01,October 2005,Canadian Journal of Fisheries and Aquatic Sciences,0706652X,12016,,Journal,62,10,,2386-2398,"Biological invasions via ship ballast are a major driver of biodiversity change in aquatic systems. In the Laurentian Great Lakes basin, unique shipping operations pose a particular invasion risk. The majority (>90%) of incoming vessels are not fully loaded with ballast water but carry ballast sediments and residual water. Ballast sediments contain viable diapause organisms that could hatch and be released during routine ballast operations. To assess invasion risk and control of this pathway, we constructed and parameterized a dynamic hatching model for three representative groups of freshwater organisms that undergo diapause: rotifers, cladocerans, and copepods. Numerical model simulations show that ballast sediment is a plausible invasion pathway for all three groups. The model also illustrates that postuptake ballast treatment to remove or kill potential invaders should be applied as late as possible prior to deballasting to minimize the number of live organisms released. Simulations show that the ability of taxa to reproduce parthenogenetically inside a ballast tank greatly influences quantitative predictions of both risk and control. © 2005 NRC.",,12,0,,undefined,
1062,2-s2.0-25444469633,10.1083/jcb.200502073090905c,,,Erratum: (Journal of Cell Biology (2005) 170:5 (721-732)),er,Karpowicz P.,,,,,7,"Karpowicz, Phillip;Morshead, Cindi;Kam, Angela;Jervis, Eric;Ramunas, John;Cheng, Vincent;Van Der Kooy, Derek",57203313410;6701694418;36832117600;57203235621;8833141900;55205387400;7004889239,;;;;;;,2005-09-26,26 September 2005,Journal of Cell Biology,00219525,18555,,Journal,170,7,,1169,,,0,1,,undefined,
1063,2-s2.0-33746074804,10.1007/s11068-005-8353-1,,16841163,"Diversity in the olfactory epithelium of bony fishes: Development, lamellar arrangement, sensory neuron cell types and transduction components",ar,Hansen A.,60012468;60009866,University of Windsor;University of Colorado Health Sciences Center,Windsor;Denver,Canada;United States,2,"Hansen, Anne;Zielinski, Barbara S.",7401928737;7004041226,60009866;60012468,2005-09-01,September 2005,Journal of Neurocytology,03004864,18573,,Journal,34,3-5,,183-208,"In this study we use a taxon-based approach to examine previous, as well as new findings on several topics pertaining to the peripheral olfactory components in teleost fishes. These topics comprise (1) the gross anatomy of the peripheral olfactory organ, including olfactory sensory neuron subtypes and their functional parameters, (2) the ultrastructure of the olfactory epithelium, and (3) recent findings regarding the development of the nasal cavity and the olfactory epithelium. The teleosts are living ray-finned fish, and include descendants of early-diverging orders (e.g., salmon), specialized descendants (e.g., goldfish and zebrafish), as well as the Acanthopterygii, numerous species with sharp bony rays, including perch, stickleback, bass and tuna. Our survey reveals that the olfactory epithelium lines a multi-lamellar olfactory rosette in many teleosts. In Acanthopterygii, there are also examples of flat, single, double or triple folded olfactory epithelia. Diverse species ventilate the olfactory chamber with a single accessory nasal sac, whereas the presence of two sacs is confined to species within the Acanthopterygii. Recent studies in salmonids and cyprinids have shown that both ciliated olfactory sensory neurons (OSNs) and microvillous OSNs respond to amino acid odorants. Bile acids stimulate ciliated OSNs, and nucleotides activate microvillous OSNs. G-protein coupled odorant receptor molecules (OR-, V1R-, and V2R-types) have been identified in several teleost species. Ciliated OSNs express the G-protein subunit Gαolf/s, which activates cyclic AMP during transduction. Localization of G protein subunits Gα0 and G αq/11 to microvillous or crypt OSNs, varies among different species. All teleost species appear to have microvillous and ciliated OSNs. The recently discovered crypt OSN is likewise found broadly. There is surprising diversity during ontogeny. In some species, OSNs and supporting cells derive from placodal cells; in others, supporting cells develop from epithelial (skin) cells. In some, epithelial cells covering the developing olfactory epithelium degenerate, in others, these retract. Likewise, there are different mechanisms for nostril formation. We conclude that there is considerable diversity in gross anatomy and development of the peripheral olfactory organ in teleosts, yet conservation of olfactory sensory neuron morphology. There is not sufficient information to draw conclusions regarding the diversity of teleost olfactory receptors or transduction cascades. © 2006 Springer Science + Business Media, LLC.",,117,0,,undefined,
1064,2-s2.0-33746077702,10.1007/s11068-005-8354-0,,16841164,Morphological and electrophysiological examination of olfactory sensory neurons during the early developmental prolarval stage of the sea lamprey Petromyzon marinus L,ar,Zielinski B.,60119661;60102909;60012468;60011347,"Sea Lamprey Control Centre, Fisheries and Oceans Canada;Viterbo University;University of Windsor;United States Geological Survey",Sault Ste Marie;La Crosse;Windsor;Reston,Canada;United States;Canada;United States,4,"Zielinski, Barbara S.;Fredricks, Kim;McDonald, Rod;Zaidi, Aliya U.",7004041226;57147923300;7401841281;7101995426,60012468;60011347-60102909;60119661;60012468,2005-09-01,September 2005,Journal of Neurocytology,03004864,18573,,Journal,34,3-5,,209-216,"This study examined olfactory sensory neuron morphology and physiological responsiveness in newly hatched sea lamprey, Petromyzon marinus L. These prolarvae hatch shortly after neural tube formation, and stay within nests for approximately 18 days, before moving downstream to silty areas where they burrow, feed and pass to the larval stage. To explore the possibility that the olfactory system is functioning during this prolarval stage, morphological and physiological development of olfactory sensory neurons was examined. The nasal cavity contained an olfactory epithelium with ciliated olfactory sensory neurons. Axons formed aggregates in the basal portion of the olfactory epithelium and spanned the narrow distance between the olfactory epithelium and the brain. The presence of asymmetric synapses with agranular vesicles within fibers in the brain, adjacent to the olfactory epithelium suggests that there was synaptic connectivity between olfactory sensory axons and the brain. Neural recordings from the surface of the olfactory epithelium showed responses following the application of L-arginine, taurocholic acid, petromyzonol sulfate (a lamprey migratory pheromone), and water conditioned by conspecifics. These results suggest that lampreys may respond to olfactory sensory input during the prolarval stage. © 2006 Springer Science + Business Media, LLC.",,8,0,,undefined,Natural Sciences and Engineering Research Council of Canada
1065,2-s2.0-28444447122,10.1111/j.1420-9101.2005.00935.x,,16135118,Hybridization dynamics between sympatric species of trout: Loss of reproductive isolation,ar,Bettles C.,60023860;60012468,Washington Department of Fish and Wildlife;University of Windsor,Olympia;Windsor,United States;Canada,4,"Bettles, C. M.;Docker, M. F.;Dufour, B.;Heath, D. D.",9732764600;7004430951;9734349300;7202415305,60012468-60023860;60012468;60012468;60012468,2005-09-01,September 2005,Journal of Evolutionary Biology,1010061X,18920,14209101,Journal,18,5,,1220-1233,"Although reinforcement should enhance reproductive barriers in sympatric species, sympatric trout species do hybridize. Using mitochondrial and nuclear species markers, we investigated hybridization directionality, hybrid mating biases, and selection against hybrids in 13 sympatric cutthroat and rainbow trout populations on Vancouver Island, Canada. Approximately 50% of the genotyped fish were hybrid (F1 or higher-order) and populations ranged from very recent (all F1 hybrids) to extremely advanced higher-order hybridization. Overall, interbreeding was reciprocal, although some populations showed directional hybridization. Pronounced cytonuclear disequilibrium in post-F1 hybrids indicated a remarkable mating bias not previously reported, which is most likely because of behavioural reproductive preferences. Selection against hybrids was observed in only two populations, indicative of extrinsic selection. Two populations were 'hybrid swarms', with a complete loss of reproductive isolation. The complex hybridization dynamics in this system represent a valuable natural experiment of the genetic and evolutionary implications of recent and on-going interspecific hybridization. © 2005 European Society for Evolutionary Biology.",Cutthroat trout | Cytonuclear disequilibrium | Hybrid swarm | Linkage disequilibria | Mating bias | Rainbow trout | Reproductive isolation | Selection,49,0,,undefined,
1066,2-s2.0-33646565131,10.1111/j.0022-1112.2005.00762.x,,,Behavioural responses of female Neogobius melanostomus to odours of conspecifics,ar,Gammon D.,60031707;60016939;60012468,Michigan State University;Centre for the Environment Fisheries and Aquaculture Science;University of Windsor,East Lansing;Lowestoft;Windsor,United States;United Kingdom;Canada,5,"Gammon, D. B.;Li, W.;Scott, A. P.;Zielinski, B. S.;Corkum, L. D.",9844948900;35758637800;56949675700;7004041226;7004387550,60012468;60031707;60016939;60012468;60012468,2005-09-01,September 2005,Journal of Fish Biology,00221112,22560,10958649,Journal,67,3,,615-626,"The behavioural responses of reproductive and non-reproductive female round gobies Neogobius melanostomus to water conditioned by reproductive and non-reproductive males and females were tested. The behavioural responses of reproductive female round gobies exposed to odour of reproductive males included increased time spent near the source of the odour, elevated swimming velocities and directed movement to and around the odour source when compared with their responses to control water. These results suggested that pheromones released from reproductive males may induce spawning behaviour in reproductive females. Non-reproductive females exposed to reproductive female odour spent significantly more time near the odour source of reproductive females compared with control water. Non-reproductive females also showed directed movement towards and around the odour source when exposed to reproductive female odour. These results suggested that round gobies use inter-sexual and intra-sexual pheromones and that both sex and reproductive status are important in the detection and release of these pheromones. © 2005 The Fisheries Society of the British Isles.",Inter-sexual signalling | Intra-sexual signalling | Pheromone | Round goby | Swimming pathway | Swimming velocity,39,0,,undefined,
1067,2-s2.0-23944443990,10.1897/04-357R.1,,16193737,Vegetated agricultural drainage ditches for the mitigation of pyrethroid-associated runoff,ar,Bennett E.,60030965;60012468;60007902;60006429,USDA ARS National Sedimentation Laboratory;University of Windsor;Technische Universität Braunschweig;Universität Koblenz-Landau,Oxford;Windsor;Braunschweig;Koblenz am Rhein,United States;Canada;Germany;Germany,7,"Bennett, Erin R.;Moore, Matthew T.;Cooper, Charles M.;Smith, Sammie;Shields, F. Douglas;Drouillard, Ken G.;Schulz, Ralf",7201460816;8935052700;7403318825;8935052800;7005490024;6603936268;7402393106,60030965-60007902;60030965;60030965;60030965;60030965;60012468;60007902-60006429,2005-09-01,September 2005,Environmental Toxicology and Chemistry,07307268,25094,,Journal,24,9,,2121-2127,"Drainage ditches are indispensable components of the agricultural production landscape. A benefit of these ditches is contaminant mitigation of agricultural storm runoff. This study determined bifenthrin and lambda-cyhalothrin (two pyrethroid insecticides) partitioning and retention in ditch water, sediment, and plant material as well as estimated necessary ditch length required for effective mitigation. A controlled-release runoff simulation was conducted on a 650-m vegetated drainage ditch in the Mississippi Delta, USA. Bifenthrin and lambda-cyhalothrin were released into the ditch in a water-sediment slurry. Samples of water, sediment, and plants were collected and analyzed for pyrethroid concentrations. Three hours following runoff initiation, inlet bifenthrin and lambda-cyhalothrin water concentrations ranged from 666 and 374 μg/L, respectively, to 7.24 and 5.23 μg/L at 200 m downstream. No chemical residues were detected at the 400-m sampling site. A similar trend was observed throughout the first 7 d of the study where water concentrations were elevated at the front end of the ditch (0-25 m) and greatly reduced by the 400-m sampling site. Regression formulas predicted that bifenthrin and lambda-cyhalothrin concentrations in ditch water were reduced to 0.1% of the initial value within 280 m. Mass balance calculations determined that ditch plants were the major sink and/or sorption site responsible for the rapid aqueous pyrethroid dissipation. By incorporating vegetated drainage ditches into a watershed management program, agriculture can continue to decrease potential non-point source threats to downstream aquatic receiving systems. Overall results of this study illustrate that aquatic macrophytes play an important role in the retention and distribution of pyrethroids in vegetated agricultural drainage ditches. © 2005 SETAC.",Aquatic plants | Bifenthrin | Drainage ditches | Lambda-cyhalothrin | Mitigation,84,0,,undefined,
1068,2-s2.0-28244499523,10.1111/j.1366-9516.2005.00150.x,,,In situ hatching of invertebrate diapausing eggs from ships' ballast sediment,ar,Bailey S.,60027716;60025949;60025778;60012468;60004424,"National Oceanic and Atmospheric Administration;Lakehead University;University of Michigan, Ann Arbor;University of Windsor;University of Waikato","Washington, D.C.;Thunder Bay;Ann Arbor;Windsor;Hamilton",United States;Canada;United States;Canada;New Zealand,7,"Bailey, Sarah A.;Nandakumar, Kanavillil;Duggan, Ian C.;Van Overdijk, Colin D.A.;Johengen, Thomas H.;Reid, David F.;MacIsaac, Hugh J.",7401729644;7102964299;6602850627;9840093200;6603602191;56234306400;7004824705,60012468;60012468-60025949;60012468-60004424;60012468;60025778;60027716;60012468,2005-09-01,September 2005,Diversity and Distributions,13669516,14551,14724642,Journal,11,5,,453-460,"Ships that enter the Great Lakes laden with cargo carry only residual ballast water and sediment in ballast tanks. These ships are designated 'no ballast on board' (NOBOB) and constitute > 90% of inbound traffic. We conducted in situ experiments using emergence traps to assess the viability and the introduction potential of invertebrate diapausing stages present in ships' ballast sediment. All trials commenced while vessels operated on the lower lakes (Erie, Ontario) and were completed 6-11 days later at ports on the upper lakes (Michigan, Lake Superior). Eight trials were conducted on four ships using five different ballast sediments. Hatching was observed on every ship, although not from all sediments on all ships. Overall hatch rates were very low (0.5 individuals per 500 g sediment), typically involving activation of < 0.05% of total eggs present. Five species of rotifers and copepod nauplii were hatched from ballast sediments, although only one or two species typically hatched from any one sediment. Results of this study indicate that hatching of diapausing eggs contained in ballast sediment of NOBOB ships poses a relatively low risk of invasion to the Great Lakes. However, as reproduction may occur in tanks, and non-indigenous species may be involved in numerous introduction events, the risk posed by this vector is small but potentially important. While dormancy is a characteristic enabling enhanced survival during transportation in ballast tanks, it becomes a hindrance for introduction. © 2005 Blackwell Publishing Ltd.",Ballast water | Biological invasions | Great Lakes | Introduction | Non-indigenous species | Resting stages,25,0,,undefined,
1069,2-s2.0-27644446008,10.1007/s00114-005-0013-x,,16086188,The cost of being an omnivore: Mandible wear from plant feeding in a true bug,ar,Roitberg B.,60032975;60023123;60018491;60017592;60016849;60012468,Pacific Agri-Food Research Centre;The King's University College;Simon Fraser University;Carleton University;University of Toronto;University of Windsor,Summerland;Edmonton;Burnaby;Ottawa;Toronto;Windsor,Canada;Canada;Canada;Canada;Canada;Canada,9,"Roitberg, Bernard D.;Gillespie, David R.;Quiring, Donald M.J.;Alma, Colleen R.;Jenner, Wade H.;Perry, Jennifer;Peterson, Jason H.;Salomon, Maxence;Vanlaerhoven, Sherah",7004907556;7201827152;7003387873;9037681000;23008641300;35568613200;9041547400;16302114000;6603635652,60018491;60018491-60032975;60032975;60018491;60018491-60017592;60018491-60016849;60018491-60023123;60018491;60018491-60032975-60012468,2005-09-01,September 2005,Naturwissenschaften,00281042,21662,,Journal,92,9,,431-434,"Evolutionary and ecological transitions from carnivorous to omnivorous feeding may be constrained by the ability of the animal to cope with disparate types of foods, even if preadaptations for such behaviour exist. The omnivorous true bug, Dicyphus hesperus (Hemiptera: Miridae) requires both animals (small, soft-bodied insects) and plants in its diet and obtains the majority of its dietary and metabolic water from plant feeding. Serrations on the lateral margins of the mandibular stylets wear with age, and this wear is exacerbated when the insects feed on plants compared to those provided free water and no plants. D. hesperus that feed on plants attack fewer prey but consumed similar amounts of prey tissue compared to individuals that were provided free water. Although others have shown mandible wear for plant-chewing animals we show for the first time that plant feeding can impose similar wear on plant-piercing animals as well. © Springer-Verlag 2005.",,22,0,,undefined,Natural Sciences and Engineering Research Council of Canada
1070,2-s2.0-24344504553,10.1016/j.ajog.2005.02.094,S0002937805003406,16150261,"Characterization of vaginal microflora of healthy, nonpregnant women by chaperonin-60 sequence-based methods",ar,Hill J.,60086968;60015186;60010365;60009839,Children's and Women's Health Centre of British Columbia;University of Saskatchewan;The University of British Columbia;National Research Council Canada,"Vancouver;Saskatoon;Vancouver;Ottawa ON,",Canada;Canada;Canada;Canada,10,"Hill, Janet E.;Swee, Han Goh;Money, Deborah M.;Doyle, Melissa;Li, Andra;Crosby, William L.;Links, Matthew;Leung, Amy;Chan, Debbie;Hemmingsen, Sean M.",7404770905;7801453253;7004281603;8678623500;8678623600;7103133141;36150762800;8678623900;36921954700;7003817448,60009839;60010365;60086968-60010365;60009839;60009839;60015186;60015186;60010365;60010365;60009839,2005-09-01,September 2005,American Journal of Obstetrics and Gynecology,00029378,30078,,Journal,193,3,,682-692,"Objective: The purpose of this study was to use a novel method that was based on the application of chaperonin-60 sequencing to describe the vaginal microflora of 16 healthy women. Study design: Asymptomatic women consented for vaginal swabs to be collected at the time of a clinical pelvic examination. Total genomic DNA was isolated from the vaginal swabs. Degenerate, universal polymerase chain reaction primers were used to amplify an approximately 555 base pair region of the universal chaperonin-60 gene, which is found in all eubacteria and eukaryotes, from the total genomic DNA and libraries of cloned polymerase chain reaction products were constructed. Library clones were sequenced, and the resulting sequences were assigned to taxonomic groups on the basis of similarity to reference sequence data. Presence of Chlamydophila psittaci sequences in the samples was confirmed by species-specific polymerase chain reaction. Results: Sixteen of the 23 women who were enrolled had normal flora by Nugent's score of <4 and had adequate polymerase chain reaction product for assessment. Vaginal flora libraries were dominated by a variety of sequences with similarity to Lactobacillus spp L crispatus, L iners, L gasseri, L jensenii, and L buchneri. Other sequences that were identified included representatives of Gardnerella spp, sequences with similarity to Porphyromonas spp and Megasphaera spp and sequences identical to C psittaci. Conclusion: Culture-independent, chaperonin-60 sequence-based molecular methods can lead to the identification of greater diversity within defined taxa compared with those that are identified by standard culture-based methods and to the identification of novel organisms that were not previously associated with vaginal flora. © 2005 Mosby, Inc. All rights reserved.",Chaperonin-60 | Molecular method | Vaginal flora,71,0,,undefined,
1071,2-s2.0-33745772615,,,,First description of the nest of the Round-tailed Manakin (Pipra chloromeros),ar,Doucet S.,60012468,University of Windsor,Windsor,Canada,2,"Doucet, Stéphanie M.;Mennill, Daniel J.",7003298791;6603983826,60011754;60012468,2005-08-31,31 August 2005,Ornitologia Neotropical,10754377,4700152417,,Journal,16,3,,433-434,,Nest description | Pipra chloromeros | Pipridae | Round-tailed Manakin,0,0,,undefined,
1072,2-s2.0-24944455115,10.1242/dev.01940,,16033797,Drosophila Cks30A interacts with Cdk1 to target Cyclin A for destruction in the female germline,ar,Swan A.,60003269,Princeton University,Princeton,United States,3,"Swan, Andrew;Barcelo, Gail;Schüpbach, Trudi",7101913958;6603793496;7003771219,60003269;60003269;60003269,2005-08-01,August 2005,Development,09501991,14531,,Journal,132,16,,3669-3678,"Cks is a small highly conserved protein that plays an important role in cell cycle control in different eukaryotes. Cks proteins have been implicated in entry into and exit from mitosis, by promoting Cyclin-dependent kinase (Cdk) activity on mitotic substrates. In yeast, Cks can promote exit from mitosis by transcriptional regulation of cell cycle regulators. Cks proteins have also been found to promote S-phase via an interaction with the SCFSkp2 Ubiquitination complex. We have characterized the Drosophila Cks gene, Cks30A and we find that it is required for progression through female meiosis and the mitotic divisions of the early embryo through an interaction with Cdk1. Cks30A mutants are compromised for Cyclin A destruction, resulting in an arrest or delay at the metaphase/anaphase transition, both in female meiosis and in the early syncytial embryo. Cks30A appears to regulate Cyclin A levels through the activity of a female germline-specific anaphase-promoting complex, CDC20-Cortex. We also find that a second closely related Cks gene, Cks85A, plays a distinct, non-overlapping role in Drosophila, and the two genes cannot functionally replace each other.",Cell cycle | Cks | Drosophila | Meiosis,23,1,,undefined,
1073,2-s2.0-23044488055,10.1038/ng1605,,16025114,Plk4 haploinsufficiency causes mitotic infidelity and carcinogenesis,ar,Ko M.,60027016;60016849;60012468,The Lunenfeld-Tanenbaum Research Institute of University of Toronto;University of Toronto;University of Windsor,Toronto;Toronto;Windsor,Canada;Canada;Canada,7,"Ko, Michael A.;Rosario, Carla O.;Hudson, John W.;Kulkarni, Sarang;Pollett, Aaron;Dennis, James W.;Swallow, Carol J.",8682648500;8682648600;36888424400;35414489600;6603481726;7202979823;7004284048,60027016-60016849;60027016-60016849;60012468;60027016;60016849;60027016-60016849;60027016-60016849,2005-08-01,August 2005,Nature Genetics,10614036,18990,,Journal,37,8,,883-888,"The polo-like kinase Plk4 (also called Sak) is required for late mitotic progression, cell survival and postgastrulation embryonic development. Here we identified a phenotype resulting from Plk4 haploinsufficiency in Plk4 heterozygous cells and mice. Plk4+/- embryonic fibroblasts had increased centrosomal amplification, multipolar spindle formation and aneuploidy compared with wild-type cells. The incidence of spontaneous liver and lung cancers was ∼15 times high in elderly Plk4+/- mice than in Plk4+/+ littermates. Using the in vivo model of partial hepatectomy to induce synchronous cell cycle entry, we determined that the precise regulation of cyclins D1, E and B1 and of Cdk1 was impaired in Plk4 +/- regenerating liver, and p53 activation and p21 and BubR1 expression were suppressed. These defects were associated with progressive cell cycle delays, increased spindle irregularities and accelerated hepatocellular carcinogenesis in Plk4+/- mice. Loss of heterozygosity occurs frequently (∼60%) at polymorphic markers adjacent to the PLK4 locus in human hepatoma. Reduced Plk4 gene dosage increases the probability of mitotic errors and cancer development.",,143,0,,undefined,
1074,2-s2.0-24144490682,10.1083/jcb.200502073,,16115957,Support for the immortal strand hypothesis: Neural stem cells partition DNA asymmetrically in vitro,ar,Karpowicz P.,60016849;60014171,University of Toronto;University of Waterloo,Toronto;Waterloo,Canada;Canada,7,"Karpowicz, Phillip;Morshead, Cindi;Kam, Angela;Jervis, Eric;Ramuns, John;Cheng, Vincent;Van Der Kooy, Derek",57203313410;6701694418;36832117600;57203235621;8552632400;55205387400;7004889239,60016849;60016849;60016849;60014171;60014171;60016849;60016849,2005-08-01,August 2005,Journal of Cell Biology,00219525,18555,,Journal,170,5,,721-732,"The immortal strand hypothesis proposes that asymmetrically dividing stem cells (SCs) selectively segregate chromosomes that bear the oldest DNA templates. We investigated cosegregation in neural stem cells (NSCs). After exposure to the thymidine analogue 5-bromo-2-deoxyuridine (BrdU), which labels newly synthesized DNA, a subset of neural precursor cells were shown to retain BrdU signal. It was confirmed that some BrdU-retaining cells divided actively, and that these cells exhibited some characteristics of SCs. This asymmetric partitioning of DNA then was demonstrated during mitosis, and these results were further supported by real time imaging of SC clones, in which older and newly synthesized DNA templates were distributed asymmetrically after DNA synthesis. We demonstrate that NSCs are unique among precursor cells in the uneven partitioning of genetic material during cell divisions. © The Rockefeller University Press.",,151,0,,undefined,
